subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
10,7,CURRENT_icmp_recv,22,31,4,"[44.0, 44.0, 44.0, 44.0, 44.0, 49.0, 49.0, 49.0, 49.0, 56.0]"
10,7,CURRENT_icmp_sent,22,31,4,"[58.0, 58.0, 58.0, 58.0, 58.0, 60.0, 60.0, 60.0, 60.0, 63.0]"
10,8,CURRENT_icmp_recv,115,124,12,"[125.0, 125.0, 125.0, 125.0, 125.0, 128.0, 128.0, 128.0, 128.0, 132.0]"
10,8,CURRENT_icmp_sent,115,124,12,"[137.0, 137.0, 137.0, 137.0, 137.0, 139.0, 139.0, 139.0, 139.0, 142.0]"
10,8,CURRENT_icmp_recv,137,146,12,"[145.0, 145.0, 145.0, 145.0, 147.0, 147.0, 147.0, 147.0, 147.0, 151.0]"
10,8,CURRENT_icmp_sent,137,146,12,"[151.0, 151.0, 151.0, 151.0, 154.0, 154.0, 154.0, 154.0, 154.0, 158.0]"
10,8,CURRENT_icmp_recv,15,24,12,"[23.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 47.0]"
10,8,CURRENT_icmp_sent,15,24,12,"[35.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 68.0]"
10,8,CURRENT_icmp_recv,37,46,12,"[60.0, 60.0, 60.0, 60.0, 60.0, 62.0, 62.0, 62.0, 62.0, 68.0]"
10,8,CURRENT_icmp_sent,37,46,12,"[80.0, 80.0, 80.0, 80.0, 80.0, 82.0, 82.0, 82.0, 82.0, 86.0]"
10,8,CURRENT_icmp_recv,59,68,12,"[77.0, 77.0, 77.0, 77.0, 80.0, 80.0, 80.0, 80.0, 80.0, 84.0]"
10,8,CURRENT_icmp_sent,59,68,12,"[94.0, 94.0, 94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 97.0, 102.0]"
10,8,CURRENT_icmp_recv,85,94,12,"[99.0, 99.0, 99.0, 99.0, 102.0, 102.0, 102.0, 102.0, 102.0, 106.0]"
10,8,CURRENT_icmp_sent,85,94,12,"[115.0, 115.0, 115.0, 115.0, 117.0, 117.0, 117.0, 117.0, 117.0, 121.0]"
10,9,CURRENT_icmp_recv,100,109,10,"[117.0, 117.0, 117.0, 117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 126.0]"
10,9,CURRENT_icmp_sent,100,109,10,"[93.0, 93.0, 93.0, 93.0, 93.0, 95.0, 95.0, 95.0, 95.0, 98.0]"
10,9,CURRENT_icmp_recv,13,22,10,"[22.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 48.0]"
10,9,CURRENT_icmp_sent,13,22,10,"[30.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 46.0]"
10,9,CURRENT_icmp_recv,35,44,10,"[61.0, 61.0, 61.0, 61.0, 61.0, 65.0, 65.0, 65.0, 65.0, 71.0]"
10,9,CURRENT_icmp_sent,35,44,10,"[55.0, 55.0, 55.0, 55.0, 55.0, 58.0, 58.0, 58.0, 58.0, 63.0]"
10,9,CURRENT_icmp_recv,48,57,10,"[73.0, 73.0, 73.0, 73.0, 73.0, 76.0, 76.0, 76.0, 76.0, 80.0]"
10,9,CURRENT_icmp_sent,48,57,10,"[64.0, 64.0, 64.0, 64.0, 64.0, 66.0, 66.0, 66.0, 66.0, 69.0]"
10,9,CURRENT_icmp_recv,57,66,10,"[80.0, 80.0, 80.0, 80.0, 83.0, 83.0, 83.0, 83.0, 83.0, 88.0]"
10,9,CURRENT_icmp_sent,57,66,10,"[69.0, 69.0, 69.0, 69.0, 71.0, 71.0, 71.0, 71.0, 71.0, 74.0]"
11,4,CURRENT_icmp_recv,92,102,2,"[90.0, 94.0, 94.0, 94.0, 94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 102.0]"
11,4,CURRENT_icmp_sent,92,102,2,"[129.0, 131.0, 131.0, 131.0, 131.0, 131.0, 134.0, 134.0, 134.0, 134.0, 141.0]"
11,7,CURRENT_icmp_recv,12,22,2,"[25.0, 25.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 44.0]"
11,7,CURRENT_icmp_sent,12,22,2,"[34.0, 34.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 58.0]"
11,8,CURRENT_icmp_recv,14,24,2,"[23.0, 23.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 47.0]"
11,8,CURRENT_icmp_sent,14,24,2,"[35.0, 35.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 68.0]"
11,9,CURRENT_icmp_recv,12,22,8,"[22.0, 22.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 48.0]"
11,9,CURRENT_icmp_sent,12,22,8,"[30.0, 30.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 46.0]"
11,9,CURRENT_icmp_recv,34,44,8,"[57.0, 61.0, 61.0, 61.0, 61.0, 61.0, 65.0, 65.0, 65.0, 65.0, 71.0]"
11,9,CURRENT_icmp_sent,34,44,8,"[53.0, 55.0, 55.0, 55.0, 55.0, 55.0, 58.0, 58.0, 58.0, 58.0, 63.0]"
11,9,CURRENT_icmp_recv,47,57,8,"[71.0, 73.0, 73.0, 73.0, 73.0, 73.0, 76.0, 76.0, 76.0, 76.0, 80.0]"
11,9,CURRENT_icmp_sent,47,57,8,"[63.0, 64.0, 64.0, 64.0, 64.0, 64.0, 66.0, 66.0, 66.0, 66.0, 69.0]"
11,9,CURRENT_icmp_recv,99,109,8,"[115.0, 117.0, 117.0, 117.0, 117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 126.0]"
11,9,CURRENT_icmp_sent,99,109,8,"[91.0, 93.0, 93.0, 93.0, 93.0, 93.0, 95.0, 95.0, 95.0, 95.0, 98.0]"
12,8,CURRENT_icmp_recv,13,24,2,"[23.0, 23.0, 23.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 47.0]"
12,8,CURRENT_icmp_sent,13,24,2,"[35.0, 35.0, 35.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 68.0]"
12,9,CURRENT_icmp_recv,46,57,2,"[71.0, 71.0, 73.0, 73.0, 73.0, 73.0, 73.0, 76.0, 76.0, 76.0, 76.0, 80.0]"
12,9,CURRENT_icmp_sent,46,57,2,"[63.0, 63.0, 64.0, 64.0, 64.0, 64.0, 64.0, 66.0, 66.0, 66.0, 66.0, 69.0]"
6,10,CURRENT_icmp_recv,39,44,6,"[49.0, 54.0, 54.0, 54.0, 54.0, 61.0]"
6,10,CURRENT_icmp_sent,39,44,6,"[69.0, 73.0, 73.0, 73.0, 73.0, 78.0]"
6,10,CURRENT_icmp_recv,61,66,6,"[74.0, 78.0, 78.0, 78.0, 78.0, 83.0]"
6,10,CURRENT_icmp_sent,61,66,6,"[84.0, 87.0, 87.0, 87.0, 87.0, 91.0]"
6,10,CURRENT_icmp_recv,9,14,6,"[20.0, 23.0, 23.0, 23.0, 23.0, 28.0]"
6,10,CURRENT_icmp_sent,9,14,6,"[34.0, 38.0, 38.0, 38.0, 38.0, 44.0]"
6,13,CURRENT_icmp_recv,109,114,6,"[129.0, 133.0, 133.0, 133.0, 133.0, 139.0]"
6,13,CURRENT_icmp_sent,109,114,6,"[148.0, 151.0, 151.0, 151.0, 151.0, 159.0]"
6,13,CURRENT_icmp_recv,140,145,6,"[161.0, 165.0, 165.0, 165.0, 165.0, 171.0]"
6,13,CURRENT_icmp_sent,140,145,6,"[180.0, 184.0, 184.0, 184.0, 184.0, 191.0]"
6,13,CURRENT_icmp_recv,18,23,6,"[38.0, 41.0, 41.0, 41.0, 41.0, 47.0]"
6,13,CURRENT_icmp_sent,18,23,6,"[44.0, 48.0, 48.0, 48.0, 48.0, 54.0]"
6,3,CURRENT_icmp_recv,107,112,4,"[293.0, 299.0, 299.0, 299.0, 299.0, 310.0]"
6,3,CURRENT_icmp_sent,107,112,4,"[338.0, 344.0, 344.0, 344.0, 344.0, 356.0]"
6,3,CURRENT_icmp_recv,51,56,4,"[158.0, 166.0, 166.0, 166.0, 166.0, 178.0]"
6,3,CURRENT_icmp_sent,51,56,4,"[198.0, 205.0, 205.0, 205.0, 205.0, 218.0]"
6,4,CURRENT_icmp_recv,127,132,4,"[117.0, 121.0, 121.0, 121.0, 121.0, 126.0]"
