outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
850,10,"[96.0, 96.0, 96.0, 96.0, 96.0, 99.0, 99.0, 99.0, 99.0, 103.0]",9,CURRENT_icmp_recv,74,83,1.133333333333334,5.000000000000001,103.0,92.33333333333333,102.33333333333333
851,10,"[115.0, 115.0, 115.0, 115.0, 117.0, 117.0, 117.0, 117.0, 117.0, 120.0]",9,CURRENT_icmp_recv,96,105,1.1666666666666654,3.333333333333334,120.0,112.77777777777779,119.44444444444444
852,10,"[117.0, 117.0, 117.0, 117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 126.0]",9,CURRENT_icmp_recv,100,109,1.533333333333334,5.000000000000001,126.0,113.33333333333333,123.33333333333333
853,10,"[131.0, 134.0, 134.0, 134.0, 134.0, 137.0, 137.0, 137.0, 137.0, 142.0]",9,CURRENT_icmp_recv,117,126,1.043498389499902,6.7082039324993685,142.0,128.29179606750063,141.70820393249937
854,10,"[150.0, 150.0, 150.0, 150.0, 153.0, 153.0, 153.0, 153.0, 153.0, 157.0]",9,CURRENT_icmp_recv,135,144,1.0666666666666684,5.000000000000001,157.0,146.66666666666666,156.66666666666666
855,10,"[30.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 46.0]",9,CURRENT_icmp_sent,13,22,1.6865480854231352,6.324555320336759,46.0,29.008778012996576,41.65788865367009
856,10,"[53.0, 53.0, 53.0, 53.0, 55.0, 55.0, 55.0, 55.0, 55.0, 58.0]",9,CURRENT_icmp_sent,31,40,1.1666666666666654,3.333333333333334,58.0,50.77777777777778,57.44444444444445
857,10,"[55.0, 55.0, 55.0, 55.0, 55.0, 58.0, 58.0, 58.0, 58.0, 63.0]",9,CURRENT_icmp_sent,35,44,1.3333333333333326,5.000000000000001,63.0,51.333333333333336,61.333333333333336
858,10,"[64.0, 64.0, 64.0, 64.0, 64.0, 66.0, 66.0, 66.0, 66.0, 69.0]",9,CURRENT_icmp_sent,48,57,1.233333333333334,3.333333333333334,69.0,61.55555555555555,68.22222222222221
859,10,"[69.0, 69.0, 69.0, 69.0, 71.0, 71.0, 71.0, 71.0, 71.0, 74.0]",9,CURRENT_icmp_sent,57,66,1.1666666666666654,3.333333333333334,74.0,66.77777777777779,73.44444444444444
860,10,"[93.0, 93.0, 93.0, 93.0, 93.0, 95.0, 95.0, 95.0, 95.0, 98.0]",9,CURRENT_icmp_sent,100,109,1.233333333333334,3.333333333333334,98.0,90.55555555555556,97.22222222222221
861,10,"[110.0, 111.0, 111.0, 111.0, 111.0, 115.0, 115.0, 115.0, 115.0, 123.0]",9,CURRENT_icmp_sent,130,139,1.4613540144521973,7.071067811865476,123.0,105.5955988548012,119.73773447853215
688,10,"[28.0, 28.0, 28.0, 28.0, 31.0, 31.0, 31.0, 31.0, 31.0, 35.0]",10,CURRENT_icmp_recv,14,23,1.0666666666666662,5.000000000000001,35.0,24.666666666666668,34.66666666666667
689,10,"[31.0, 31.0, 31.0, 31.0, 31.0, 35.0, 35.0, 35.0, 35.0, 41.0]",10,CURRENT_icmp_recv,18,27,1.233333333333333,6.666666666666668,41.0,26.11111111111111,39.44444444444444
690,10,"[46.0, 46.0, 46.0, 46.0, 46.0, 49.0, 49.0, 49.0, 49.0, 54.0]",10,CURRENT_icmp_recv,31,40,1.3333333333333326,5.000000000000001,54.0,42.333333333333336,52.333333333333336
691,10,"[46.0, 49.0, 49.0, 49.0, 49.0, 54.0, 54.0, 54.0, 54.0, 61.0]",10,CURRENT_icmp_recv,35,44,1.0313642747257032,9.803627446568495,61.0,41.08526144232039,60.692516335457384
692,10,"[61.0, 61.0, 61.0, 61.0, 61.0, 64.0, 64.0, 64.0, 64.0, 68.0]",10,CURRENT_icmp_recv,44,53,1.1333333333333326,5.000000000000001,68.0,57.333333333333336,67.33333333333334
693,10,"[61.0, 64.0, 64.0, 64.0, 64.0, 68.0, 68.0, 68.0, 68.0, 74.0]",10,CURRENT_icmp_recv,48,57,1.0392129570629423,8.232726023485647,74.0,57.211718420958796,73.6771704679301
694,10,"[74.0, 74.0, 74.0, 74.0, 74.0, 78.0, 78.0, 78.0, 78.0, 83.0]",10,CURRENT_icmp_recv,57,66,1.0833333333333341,6.666666666666668,83.0,69.1111111111111,82.44444444444444
695,10,"[83.0, 83.0, 83.0, 83.0, 86.0, 86.0, 86.0, 86.0, 86.0, 90.0]",10,CURRENT_icmp_recv,66,75,1.0666666666666655,5.000000000000001,90.0,79.66666666666667,89.66666666666667
696,10,"[86.0, 86.0, 86.0, 86.0, 86.0, 90.0, 90.0, 90.0, 90.0, 95.0]",10,CURRENT_icmp_recv,70,79,1.0833333333333341,6.666666666666668,95.0,81.1111111111111,94.44444444444444
697,10,"[95.0, 95.0, 95.0, 95.0, 99.0, 99.0, 99.0, 99.0, 99.0, 104.0]",10,CURRENT_icmp_recv,79,88,1.0166666666666655,6.666666666666668,104.0,90.55555555555556,103.8888888888889
698,10,"[99.0, 99.0, 99.0, 99.0, 99.0, 104.0, 104.0, 104.0, 104.0, 111.0]",10,CURRENT_icmp_recv,83,92,1.1733333333333325,8.333333333333334,111.0,92.8888888888889,109.55555555555556
699,10,"[111.0, 111.0, 111.0, 111.0, 115.0, 115.0, 115.0, 115.0, 115.0, 120.0]",10,CURRENT_icmp_recv,92,101,1.0166666666666655,6.666666666666668,120.0,106.55555555555556,119.8888888888889
700,10,"[139.0, 139.0, 139.0, 139.0, 143.0, 143.0, 143.0, 143.0, 143.0, 148.0]",10,CURRENT_icmp_recv,118,127,1.0166666666666655,6.666666666666668,148.0,134.55555555555557,147.88888888888889
701,10,"[153.0, 153.0, 153.0, 153.0, 158.0, 158.0, 158.0, 158.0, 158.0, 170.0]",10,CURRENT_icmp_recv,131,140,1.7066666666666672,8.333333333333334,170.0,147.44444444444443,164.11111111111111
702,10,"[67.0, 67.0, 67.0, 67.0, 67.0, 69.0, 69.0, 69.0, 69.0, 73.0]",10,CURRENT_icmp_sent,31,40,1.533333333333334,3.333333333333334,73.0,64.55555555555556,71.22222222222221
703,10,"[82.0, 82.0, 82.0, 82.0, 84.0, 84.0, 84.0, 84.0, 84.0, 87.0]",10,CURRENT_icmp_sent,53,62,1.1666666666666654,3.333333333333334,87.0,79.77777777777779,86.44444444444444
704,10,"[84.0, 84.0, 84.0, 84.0, 84.0, 87.0, 87.0, 87.0, 87.0, 91.0]",10,CURRENT_icmp_sent,57,66,1.133333333333334,5.000000000000001,91.0,80.33333333333333,90.33333333333333
705,10,"[94.0, 96.0, 96.0, 96.0, 96.0, 98.0, 98.0, 98.0, 98.0, 102.0]",10,CURRENT_icmp_sent,74,83,1.1925695879998868,4.47213595499958,102.0,92.19453071166708,101.13880262166626
706,10,"[108.0, 108.0, 108.0, 108.0, 110.0, 110.0, 110.0, 110.0, 110.0, 114.0]",10,CURRENT_icmp_sent,92,101,1.4666666666666655,3.333333333333334,114.0,105.77777777777779,112.44444444444444
707,10,"[119.0, 119.0, 119.0, 119.0, 119.0, 122.0, 122.0, 122.0, 122.0, 126.0]",10,CURRENT_icmp_sent,109,118,1.133333333333334,5.000000000000001,126.0,115.33333333333333,125.33333333333333
